Render flag enabled: attempting to use MuJoCo visualiser (render=true).
Launching MuJoCo visualizer... Close window to exit or it will auto-exit after steps.
[Step  790 ] pos=( 0.796 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.006
[Step  796 ] pos=( 0.796 ,  0.415 ) goal=( 0.8 ,  0.4 ) dist= 0.0152
[Step  802 ] pos=( 0.792 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0124
[Step  809 ] pos=( 0.792 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0124
[Step  815 ] pos=( 0.796 ,  0.413 ) goal=( 0.8 ,  0.4 ) dist= 0.0134
[Step  821 ] pos=( 0.796 ,  0.414 ) goal=( 0.8 ,  0.4 ) dist= 0.0143
[Step  827 ] pos=( 0.796 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.01
[Step  834 ] pos=( 0.792 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0095
[Step  840 ] pos=( 0.787 ,  0.406 ) goal=( 0.8 ,  0.4 ) dist= 0.0139
[Step  846 ] pos=( 0.786 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0144
[Step  853 ] pos=( 0.792 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0095
[Step  859 ] pos=( 0.792 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0124
[Step  865 ] pos=( 0.787 ,  0.41 ) goal=( 0.8 ,  0.4 ) dist= 0.0163
[Step  871 ] pos=( 0.792 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0124
[Step  878 ] pos=( 0.804 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0103
[Step  884 ] pos=( 0.801 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0048
[Step  890 ] pos=( 0.8 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0048
[Step  896 ] pos=( 0.796 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.006
Saved plot to: asimulajjtion.png
Done. Converged: true, steps: 194, final_dist: 0.047956
Saved plot to: asimulajjtion.png
Saved plot to: asimulajjtion.png
Done. Converged: true, steps: 190, final_dist: 0.047381
Saved plot to: asimulajjtion.png
Saved plot to: asimulajjtion.png
